2023-02-06 14:46:30+00:00, province: Mardin, district: None, country: TR
2023-02-06 14:44:43+00:00, province: İstanbul, district: None, country: TR
2023-02-06 14:44:34+00:00, province: İstanbul, district: None, country: TR
2023-02-06 14:43:55+00:00, province: İstanbul, district: İstanbul, country: GR
2023-02-06 14:43:39+00:00, province: Antalya, district: Antalya, country: TR
2023-02-06 14:43:33+00:00, province: İzmir, district: None, country: TR
2023-02-06 14:42:10+00:00, province: Erzurum, district: None, country: TR
2023-02-06 14:39:53+00:00, province: Muğla, district: None, country: TR
2023-02-06 14:39:38+00:00, province: Kayseri, district: None, country: TR
2023-02-06 14:38:05+00:00, province: Mersin, district: None, country: TR
2023-02-06 14:37:45+00:00, province: Eskişehir, district: None, country: TR
2023-02-06 14:31:56+00:00, province: Mersin, district: None, country: TR
2023-02-06 14:31:14+00:00, province: Hatay, district: None, country: TR
2023-02-06 14:29:22+00:00, province: İzmir, district: None, country: TR
2023-02-06 14:27:08+00:00, province: Şırnak, district: None, country: TR
2023-02-06 14:23:51+00:00, province: Bursa, district: None, country: TR
2023-02-06 14:19:30+00:00, province: Erzurum, district: None, country: TR
2023-02-06 14:18:03+00:00, province: İzmir, district: None, country: TR
2023-02-06 14:15:57+00:00, province: Malatya, district: Malatya, country: TR
2023-02-06 14:14:48+00:00, province: Antalya, district: None, country: TR
2023-02-06 14:14:01+00:00, province: İzmir, district: None, country: TR
2023-02-06 14:13:42+00:00, province: Antalya, district: None, country: TR
2023-02-06 14:13:06+00:00, province: Ankara, district: None, country: TR
2023-02-06 14:11:28+00:00, province: Gaziantep, district: None, country: TR
2023-02-06 14:11:24+00:00, province: İzmir, district: None, country: TR
2023-02-06 14:06:47+00:00, province: Diyarbakır, district: None, country: TR
2023-02-06 14:05:17+00:00, province: İstanbul, district: None, country: TR
2023-02-06 14:00:57+00:00, province: Diyarbakır, district: None, country: TR
2023-02-06 13:57:23+00:00, province: None, district: None, country: TR
2023-02-06 13:52:24+00:00, province: Antalya, district: None, country: TR
2023-02-06 13:50:07+00:00, province: Kahramanmaraş, district: None, country: TR
2023-02-06 13:49:51+00:00, province: İstanbul, district: None, country: TR
2023-02-06 13:49:31+00:00, province: Gaziantep, district: None, country: TR
2023-02-06 13:48:03+00:00, province: Gaziantep, district: None, country: TR
2023-02-06 13:48:00+00:00, province: Batı Azerbaycan Eyaleti, district: Hoy, country: IR
2023-02-06 13:47:33+00:00, province: Baden-Württemberg, district: Ortenaukreis, country: DE
2023-02-06 13:44:59+00:00, province: İstanbul, district: None, country: TR
2023-02-06 13:44:06+00:00, province: Kahramanmaraş, district: None, country: TR
2023-02-06 13:43:34+00:00, province: İstanbul, district: None, country: TR
2023-02-06 13:41:47+00:00, province: Hatay, district: None, country: TR
2023-02-06 13:41:32+00:00, province: İstanbul, district: None, country: TR
2023-02-06 13:41:25+00:00, province: İstanbul, district: None, country: TR
2023-02-06 13:39:53+00:00, province: Ankara, district: None, country: TR
2023-02-06 13:39:44+00:00, province: İstanbul, district: None, country: TR
2023-02-06 13:37:51+00:00, province: Diyarbakır, district: Diyarbakır, country: TR
2023-02-06 13:35:52+00:00, province: Giresun, district: None, country: TR
2023-02-06 13:35:00+00:00, province: Kocaeli, district: None, country: TR
2023-02-06 13:31:34+00:00, province: Noord-Holland, district: None, country: NL
2023-02-06 13:29:47+00:00, province: İzmir, district: None, country: TR
2023-02-06 13:29:02+00:00, province: Hatay, district: None, country: TR
2023-02-06 13:17:17+00:00, province: İstanbul, district: None, country: TR
2023-02-06 13:14:53+00:00, province: İstanbul, district: None, country: TR
2023-02-06 13:12:47+00:00, province: İstanbul, district: None, country: TR
2023-02-06 13:05:09+00:00, province: Gaziantep, district: None, country: TR
2023-02-06 13:04:24+00:00, province: Mersin, district: None, country: TR
2023-02-06 13:03:51+00:00, province: Van, district: None, country: TR
2023-02-06 12:52:56+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:50:01+00:00, province: Bursa, district: None, country: TR
2023-02-06 12:48:04+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:47:43+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:47:10+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:43:00+00:00, province: Çanakkale, district: None, country: TR
2023-02-06 12:41:35+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:41:34+00:00, province: None, district: Lefkoşa ilçesi, country: CY
2023-02-06 12:40:43+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:39:10+00:00, province: Balıkesir, district: None, country: TR
2023-02-06 12:35:46+00:00, province: Er-Reyyan, district: الريان, country: QA
2023-02-06 12:34:39+00:00, province: Ankara, district: None, country: TR
2023-02-06 12:31:29+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:29:49+00:00, province: Antalya, district: None, country: TR
2023-02-06 12:27:58+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:25:55+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:24:54+00:00, province: Afyonkarahisar, district: Afyonkarahisar Merkez, country: TR
2023-02-06 12:24:10+00:00, province: Bursa, district: None, country: TR
2023-02-06 12:23:08+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:21:53+00:00, province: Antalya, district: None, country: TR
2023-02-06 12:18:02+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:15:43+00:00, province: Abu Dabi Emirliği, district: أبوظبي, country: AE
2023-02-06 12:14:43+00:00, province: Konya, district: None, country: TR
2023-02-06 12:13:26+00:00, province: Konya, district: None, country: TR
2023-02-06 12:10:32+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:10:26+00:00, province: Muğla, district: None, country: TR
2023-02-06 12:10:11+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:07:58+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:07:44+00:00, province: Balıkesir, district: None, country: TR
2023-02-06 12:06:54+00:00, province: Eskişehir, district: None, country: TR
2023-02-06 12:06:51+00:00, province: Kocaeli, district: None, country: TR
2023-02-06 12:06:40+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:06:12+00:00, province: Antalya, district: None, country: TR
2023-02-06 12:05:25+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:05:16+00:00, province: Hatay, district: None, country: TR
2023-02-06 12:04:37+00:00, province: Zonguldak, district: None, country: TR
2023-02-06 12:04:19+00:00, province: Mardin, district: None, country: TR
2023-02-06 12:02:05+00:00, province: Antalya, district: None, country: TR
2023-02-06 12:01:31+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:00:54+00:00, province: Siirt, district: Siirt, country: TR
2023-02-06 12:00:32+00:00, province: İstanbul, district: None, country: TR
2023-02-06 12:00:16+00:00, province: İstanbul, district: None, country: TR
2023-02-06 11:58:42+00:00, province: Ankara, district: None, country: TR
2023-02-06 11:57:09+00:00, province: İzmir, district: None, country: TR
2023-02-06 11:56:08+00:00, province: İstanbul, district: None, country: TR
2023-02-06 11:54:02+00:00, province: Bursa, district: None, country: TR
2023-02-06 11:52:47+00:00, province: Denizli, district: None, country: TR
2023-02-06 11:47:47+00:00, province: Eskişehir, district: None, country: TR
2023-02-06 11:46:38+00:00, province: Giresun, district: None, country: TR
2023-02-06 11:45:50+00:00, province: Washington, district: Whitman County, country: US
2023-02-06 11:45:49+00:00, province: Washington, district: Whitman County, country: US
2023-02-06 11:45:47+00:00, province: Konya, district: None, country: TR
2023-02-06 11:45:38+00:00, province: Zonguldak, district: None, country: TR
2023-02-06 11:44:21+00:00, province: Elazığ, district: Elâzığ Merkez, country: TR
2023-02-06 11:44:02+00:00, province: None, district: None, country: TR
2023-02-06 11:43:40+00:00, province: Antalya, district: None, country: TR
2023-02-06 11:41:46+00:00, province: Şanlıurfa, district: None, country: TR
2023-02-06 11:40:12+00:00, province: Ankara, district: None, country: TR
2023-02-06 11:39:56+00:00, province: Kocaeli, district: None, country: TR
2023-02-06 11:38:10+00:00, province: Gaziantep, district: None, country: TR
2023-02-06 11:37:45+00:00, province: İzmir, district: None, country: TR
2023-02-06 11:37:44+00:00, province: Van, district: None, country: TR
2023-02-06 11:36:31+00:00, province: Ankara, district: None, country: TR
2023-02-06 11:34:09+00:00, province: Adana, district: None, country: TR
2023-02-06 11:32:46+00:00, province: Şanlıurfa, district: None, country: TR
2023-02-06 11:31:32+00:00, province: Ankara, district: None, country: TR
2023-02-06 11:29:25+00:00, province: İstanbul, district: None, country: TR
2023-02-06 11:27:53+00:00, province: Siirt, district: None, country: TR
2023-02-06 11:27:44+00:00, province: Batı Azerbaycan Eyaleti, district: Hoy, country: IR
2023-02-06 11:26:55+00:00, province: Hakkâri, district: None, country: TR
